appId,title,developer,score,ratings,reviews,installs,genre,url
com.carlodips.soberup,Sober Up - Addiction Tracker,carlodips,4.642857,57,9,9071,Lifestyle,https://play.google.com/store/apps/details?id=com.carlodips.soberup&hl=en&gl=us
com.anmolsoftware12345.sobertracker,Sober Tracker: Quit Drinking,Anmol Kulshreshtha,,,,151,Health & Fitness,https://play.google.com/store/apps/details?id=com.anmolsoftware12345.sobertracker&hl=en&gl=us
com.artmvstd.daysTracker,SobrMate: Days Clean Tracker,Artmvstd,4.44,661,24,27349,Productivity,https://play.google.com/store/apps/details?id=com.artmvstd.daysTracker&hl=en&gl=us
com.bilaal5279.SoberTracker,Sober Tracker: Quit Drinking,DigitalSprout,,,,312,Health & Fitness,https://play.google.com/store/apps/details?id=com.bilaal5279.SoberTracker&hl=en&gl=us
com.grata.recovery,Sobo: Sober Best Friend,Grata Health,4.465517,105,15,8723,Health & Fitness,https://play.google.com/store/apps/details?id=com.grata.recovery&hl=en&gl=us
com.brainbuddy.android,Brainbuddy: Quit Porn Forever,AppStudio Australia Pty Ltd,4.644565,30179,910,829081,Health & Fitness,https://play.google.com/store/apps/details?id=com.brainbuddy.android&hl=en&gl=us
com.cpark.nobee,NoBeep: Quit Porn & Reboot,tech.neep,4.85,13608,410,307623,Health & Fitness,https://play.google.com/store/apps/details?id=com.cpark.nobee&hl=en&gl=us
com.extendztech.quit,Rewire - Quit porn addiction,Extendztech,4.759259,6634,88,74904,Productivity,https://play.google.com/store/apps/details?id=com.extendztech.quit&hl=en&gl=us
com.stopporn.quitaddiction,Quitum - Quit porn addiction,AiraMind,4.4226804,2010,14,63817,Lifestyle,https://play.google.com/store/apps/details?id=com.stopporn.quitaddiction&hl=en&gl=us
com.mindgarden.seed,Seed: Gamify No Nut Quit Porn,Quiet Games.,4.427203,69501,1081,1033346,Health & Fitness,https://play.google.com/store/apps/details?id=com.mindgarden.seed&hl=en&gl=us
com.digitallence.quitbuddy,QuitBuddy: No Nut - Quit Porn,HAZNEDAR TEKNOLOJI LIMITED SIRKETI,4.5,6766,15,97154,Health & Fitness,https://play.google.com/store/apps/details?id=com.digitallence.quitbuddy&hl=en&gl=us
reboot.no.relapse,Reboot: Quit Porn Addiction,Reboot Universe,4.61,2658,49,162583,Health & Fitness,https://play.google.com/store/apps/details?id=reboot.no.relapse&hl=en&gl=us
app.jointribe,Relay: Quit Porn Addiction,Relay Health Inc.,4.947977,4681,148,56358,Lifestyle,https://play.google.com/store/apps/details?id=app.jointribe&hl=en&gl=us
com.ch.give_up_sex,Transform: Quit Porn Blocker,CaiHan,4.625,1550,12,79591,Health & Fitness,https://play.google.com/store/apps/details?id=com.ch.give_up_sex&hl=en&gl=us
