time,open,high,low,close
1737601200,6448,6451.5,6445.75,6446.75
1737615600,6447,6447.75,6435.75,6441
1737630000,6440.75,6453.25,6439.75,6452.5
1737644400,6452.5,6473.25,6446.25,6468
1737658800,6467.75,6488,6463.5,6482.5
1737673200,6482.5,6490.25,6479.25,6489
1737687600,6488.75,6490.25,6477.75,6480.25
1737702000,6480.25,6483.75,6473.25,6477.75
1737716400,6477.75,6497.25,6474.75,6491.25
1737730800,6491.25,6493.5,6460,6462.5
1737745200,6462.75,6469.5,6456.25,6466
1737932400,6440.75,6440.75,6405.75,6413
1737946800,6413,6420,6377.5,6382.5
1737961200,6382.75,6386,6282.25,6307.75
1737975600,6308,6372.25,6305.25,6371.5
1737990000,6371.25,6382,6343.25,6351.75
1738004400,6352,6390.75,6349.25,6385
1738018800,6392.25,6394.25,6365.75,6378.5
1738033200,6378.5,6385.75,6370.25,6375.5
1738047600,6375,6407.25,6371.25,6402.5
1738062000,6402.75,6406.25,6357.75,6374.25
1738076400,6374,6433.5,6373.25,6423.25
1738090800,6423.75,6439.75,6418,6425.75
1738105200,6426.25,6430,6420.5,6428.75
1738119600,6428.75,6445.5,6423,6441.75
1738134000,6441.5,6442,6429.5,6437.75
1738148400,6438,6441,6408.75,6417.25
1738162800,6417.5,6425.5,6380.5,6399.75
1738177200,6399.75,6422,6376.5,6410.5
1738191600,6407.5,6428.25,6395.75,6423.75
1738206000,6424,6428,6420.25,6422.25
1738220400,6422.25,6435.75,6419,6421.5
1738234800,6421.75,6444.25,6408.25,6433.75
1738249200,6433.75,6435.25,6390.5,6434
1738263600,6434.25,6450.5,6401.75,6426.5
1738278000,6437.75,6454,6433.5,6446.5
1738292400,6446.75,6454,6445,6452
1738306800,6452,6462.75,6450.75,6458.25
1738321200,6458.25,6464.25,6451,6463.25
1738335600,6463,6482,6429.75,6436
1738350000,6435.75,6441.25,6392,6399.75
1738537200,6343.25,6343.25,6269.75,6281.25
1738551600,6281.25,6292.5,6270.5,6286.25
1738566000,6286,6323,6286,6313.75
1738580400,6314,6323.75,6294.5,6299.75
1738594800,6299.75,6372.75,6284.25,6368.5
1738609200,6368.5,6395.5,6354.25,6389.5
1738623600,6401,6402,6367.5,6368.75
1738638000,6368.5,6369.5,6321.25,6352.5
1738652400,6352.75,6357.5,6328.25,6345.5
1738666800,6345.5,6371.75,6342.5,6369.5
1738681200,6369.5,6401,6369.25,6387
1738695600,6387,6403.25,6376.5,6380
